Drug Name,Drug Class,Indication,Side Effects,Dosage Form,Dosage Strength,Prescription Status,Manufacturer,Approval Year,Description,Price (USD),Market Status
Drug-6780,Antihypertensive,Pain Relief,"Stomach Upset, Dizziness, Nausea",Tablet,107 mg,Prescription,MediLife,2004,A antihypertensive used for pain relief.,45.48,Active
Drug-3475,Antifungal,Blood Pressure Control,"Headache, Fatigue, Dizziness",Capsule,,Prescription,Global Remedies,2007,A antifungal used for blood pressure control.,99.89,Discontinued
Drug-2877,Antiseptic,Depression,"Dizziness, Fatigue",Capsule,86 mg,OTC,BioSynth,2009,A antiseptic used for depression.,192.04,Active
Drug-1242,Antihistamine,Anxiety Reduction,"Nausea, Headache, Dizziness",,888 mg,Prescription,MediLife,2021,A antihistamine used for anxiety reduction.,322.04,Discontinued
Drug-4854,Analgesic,Wound Cleaning,"Stomach Upset, Drowsiness, Fatigue",Cream,645 mg,OTC,Global Remedies,2019,A analgesic used for wound cleaning.,54.11,Discontinued
Drug-4315,Antiseptic,Infection,"Headache, Dizziness, Nausea",Cream,740 mg,OTC,BioSynth,1998,A antiseptic used for infection.,411.06,Active
Drug-8962,Analgesic,Infection,"Stomach Upset, Headache, Drowsiness",Tablet,777 mg,Prescription,Global Remedies,1993,A analgesic used for infection.,118.76,Active
Drug-1809,Antidiabetic,Pain Relief,"Stomach Upset, Nausea",Tablet,803 mg,OTC,PharmaCorp,2019,A antidiabetic used for pain relief.,110.39,Active
Drug-7676,Sedative,Infection,Headache,Tablet,917 mg,Prescription,HealthPlus,2008,A sedative used for infection.,376.3,Discontinued
Drug-5236,Sedative,Anxiety Reduction,"Stomach Upset, Dizziness, Headache",Cream,610 mg,OTC,MediLife,1996,A sedative used for anxiety reduction.,152.33,Discontinued
Drug-9962,Sedative,Fungal Infection,"Fatigue, Drowsiness",Cream,946 mg,OTC,MediLife,1985,A sedative used for fungal infection.,19.8,Active
Drug-2378,Antiseptic,Virus Management,Nausea,Tablet,639 mg,OTC,MediLife,2019,A antiseptic used for virus management.,399.77,Active
Drug-5193,Antibiotic,Virus Management,"Drowsiness, Dizziness, Nausea",Syrup,641 mg,OTC,HealthPlus,2013,A antibiotic used for virus management.,133.75,Discontinued
Drug-1302,Sedative,Anxiety Reduction,Headache,Syrup,528 mg,OTC,HealthPlus,2009,A sedative used for anxiety reduction.,200.23,Active
Drug-9897,Analgesic,Wound Cleaning,"Stomach Upset, Drowsiness",Cream,789 mg,OTC,PharmaCorp,2022,A analgesic used for wound cleaning.,440.21,Discontinued
Drug-7663,Antidepressant,Depression,Dizziness,Tablet,308 mg,Prescription,HealthPlus,1991,A antidepressant used for depression.,447.82,Discontinued
Drug-4729,Antifungal,Pain Relief,"Fatigue, Nausea",Injection,717 mg,OTC,HealthPlus,1989,A antifungal used for pain relief.,66.25,Discontinued
Drug-1316,Antidiabetic,Infection,Headache,Injection,634 mg,Prescription,MediLife,2017,A antidiabetic used for infection.,35.63,Discontinued
Drug-3607,Antibiotic,Fungal Infection,Headache,Capsule,354 mg,Prescription,HealthPlus,2013,A antibiotic used for fungal infection.,395.25,Active
Drug-2016,Antibiotic,Infection,Headache,Cream,,Prescription,BioSynth,1996,A antibiotic used for infection.,429.91,Discontinued
Drug-6412,Antidiabetic,Wound Cleaning,Dizziness,Gel,243 mg,OTC,PharmaCorp,1981,A antidiabetic used for wound cleaning.,323.57,Active
Drug-3224,Antibiotic,Wound Cleaning,"Stomach Upset, Headache, Drowsiness",Cream,536 mg,Prescription,MediLife,2005,A antibiotic used for wound cleaning.,367.12,Discontinued
Drug-4421,Antiseptic,Allergy Relief,Drowsiness,Capsule,260 mg,Prescription,PharmaCorp,2012,A antiseptic used for allergy relief.,148.93,Active
Drug-5522,Antihypertensive,Anxiety Reduction,Dizziness,Capsule,14 mg,Prescription,Global Remedies,2008,A antihypertensive used for anxiety reduction.,265.14,Discontinued
Drug-6489,Analgesic,Virus Management,"Fatigue, Nausea, Headache",Cream,42 mg,Prescription,BioSynth,1985,A analgesic used for virus management.,402.92,Discontinued
Drug-9715,Antihistamine,Pain Relief,Stomach Upset,Tablet,835 mg,OTC,Global Remedies,1986,A antihistamine used for pain relief.,348.79,Discontinued
Drug-9754,Antifungal,Virus Management,"Headache, Stomach Upset, Drowsiness",,203 mg,Prescription,BioSynth,2015,A antifungal used for virus management.,372.76,Discontinued
Drug-8247,Antibiotic,Diabetes,"Stomach Upset, Nausea, Fatigue",Tablet,308 mg,Prescription,BioSynth,2016,A antibiotic used for diabetes.,274.73,Active
Drug-5733,Antidepressant,Infection,Dizziness,Cream,831 mg,Prescription,MediLife,1986,A antidepressant used for infection.,142.51,Discontinued
Drug-4139,Antidepressant,Virus Management,"Drowsiness, Nausea",Cream,316 mg,OTC,Global Remedies,1986,A antidepressant used for virus management.,340.43,Discontinued
Drug-2617,Antidepressant,Diabetes,"Fatigue, Dizziness",Capsule,436 mg,OTC,MediLife,1997,A antidepressant used for diabetes.,227.51,Active
Drug-4117,Antifungal,Anxiety Reduction,Nausea,Injection,91 mg,OTC,PharmaCorp,2004,A antifungal used for anxiety reduction.,459.09,Discontinued
Drug-2152,Antiseptic,Diabetes,"Headache, Nausea",Capsule,292 mg,OTC,HealthPlus,1999,A antiseptic used for diabetes.,88.69,Active
Drug-6368,Antidepressant,Allergy Relief,"Fatigue, Stomach Upset, Nausea",Cream,368 mg,Prescription,HealthPlus,1980,A antidepressant used for allergy relief.,341.72,Discontinued
Drug-2905,Sedative,Virus Management,"Drowsiness, Dizziness",Injection,,OTC,MediLife,2023,A sedative used for virus management.,360.41,Active
Drug-3553,Analgesic,Virus Management,"Headache, Nausea",Capsule,423 mg,Prescription,Global Remedies,2005,A analgesic used for virus management.,232.9,Active
Drug-2144,Antiviral,Allergy Relief,Stomach Upset,Capsule,130 mg,Prescription,Global Remedies,1984,A antiviral used for allergy relief.,72.37,Discontinued
Drug-9465,Antiviral,Pain Relief,"Dizziness, Fatigue",Injection,97 mg,Prescription,BioSynth,1995,A antiviral used for pain relief.,242.69,Active
Drug-4056,Antifungal,Wound Cleaning,"Dizziness, Stomach Upset, Fatigue",Injection,210 mg,Prescription,BioSynth,1987,A antifungal used for wound cleaning.,463.47,Discontinued
Drug-3437,Antibiotic,Wound Cleaning,Fatigue,Syrup,250 mg,OTC,MediLife,2015,A antibiotic used for wound cleaning.,191.51,Discontinued
Drug-4508,Antifungal,Virus Management,"Nausea, Stomach Upset, Headache",Injection,404 mg,Prescription,Global Remedies,2018,A antifungal used for virus management.,286.46,Discontinued
Drug-9917,Sedative,Fungal Infection,Drowsiness,Tablet,13 mg,OTC,PharmaCorp,2015,A sedative used for fungal infection.,26.5,Active
Drug-1345,Antidepressant,Allergy Relief,"Stomach Upset, Dizziness, Headache",Gel,183 mg,OTC,MediLife,2005,A antidepressant used for allergy relief.,309.84,Discontinued
Drug-5541,Sedative,Diabetes,Headache,Injection,866 mg,OTC,BioSynth,1984,A sedative used for diabetes.,370.52,Discontinued
Drug-5478,Antiseptic,Depression,Fatigue,Gel,324 mg,OTC,Global Remedies,1996,A antiseptic used for depression.,146.59,Discontinued
Drug-1809,Antidiabetic,Fungal Infection,"Headache, Stomach Upset, Drowsiness",Tablet,994 mg,OTC,Global Remedies,2017,A antidiabetic used for fungal infection.,444.87,Discontinued
Drug-8729,Antiviral,Anxiety Reduction,"Nausea, Fatigue",Capsule,493 mg,Prescription,MediLife,1985,A antiviral used for anxiety reduction.,395.52,Active
Drug-1803,Antihypertensive,Diabetes,"Dizziness, Fatigue",Syrup,685 mg,OTC,HealthPlus,2013,A antihypertensive used for diabetes.,12.08,Active
Drug-5107,Antibiotic,Pain Relief,"Stomach Upset, Nausea",Cream,984 mg,OTC,HealthPlus,2019,A antibiotic used for pain relief.,170.91,Discontinued
Drug-6384,Antihypertensive,Pain Relief,"Fatigue, Nausea",Injection,716 mg,Prescription,Global Remedies,2015,A antihypertensive used for pain relief.,176.7,Discontinued
Drug-3506,Antihypertensive,Virus Management,Stomach Upset,Cream,614 mg,Prescription,PharmaCorp,2018,A antihypertensive used for virus management.,246.26,Discontinued
Drug-7070,Antidiabetic,Infection,"Headache, Fatigue",Cream,37 mg,Prescription,BioSynth,1983,A antidiabetic used for infection.,65.86,Active
Drug-1853,Antihistamine,Diabetes,Drowsiness,,468 mg,OTC,Global Remedies,1992,A antihistamine used for diabetes.,45.09,Active
Drug-5164,Antihistamine,Virus Management,"Fatigue, Dizziness, Stomach Upset",Cream,464 mg,OTC,MediLife,1984,A antihistamine used for virus management.,448.98,Discontinued
Drug-8518,Antihypertensive,Anxiety Reduction,"Dizziness, Fatigue, Nausea",Tablet,580 mg,OTC,PharmaCorp,2013,A antihypertensive used for anxiety reduction.,111.4,Active
Drug-5496,Antifungal,Virus Management,"Nausea, Stomach Upset, Drowsiness",Capsule,917 mg,OTC,BioSynth,2022,A antifungal used for virus management.,317.76,Active
Drug-7584,Antihistamine,Allergy Relief,Fatigue,Cream,85 mg,Prescription,Global Remedies,1992,A antihistamine used for allergy relief.,290.36,Active
Drug-8496,Antidepressant,Virus Management,"Dizziness, Drowsiness",Gel,,Prescription,MediLife,2010,A antidepressant used for virus management.,375.71,Active
Drug-2283,Antidiabetic,Allergy Relief,"Nausea, Fatigue, Stomach Upset",Gel,472 mg,OTC,BioSynth,1984,A antidiabetic used for allergy relief.,137.94,Active
Drug-8803,Sedative,Virus Management,"Drowsiness, Fatigue, Stomach Upset",Syrup,849 mg,OTC,MediLife,1981,A sedative used for virus management.,455.14,Active
Drug-7901,Antiviral,Depression,"Fatigue, Drowsiness",Capsule,246 mg,OTC,HealthPlus,2020,A antiviral used for depression.,485.51,Discontinued
Drug-4865,Sedative,Blood Pressure Control,Stomach Upset,Gel,734 mg,OTC,PharmaCorp,1993,A sedative used for blood pressure control.,157.45,Discontinued
Drug-7313,Antihypertensive,Wound Cleaning,Stomach Upset,Injection,73 mg,Prescription,Global Remedies,2002,A antihypertensive used for wound cleaning.,163.26,Discontinued
Drug-6410,Antifungal,Infection,Stomach Upset,Gel,512 mg,OTC,BioSynth,1999,A antifungal used for infection.,444.04,Active
Drug-3330,Antifungal,Virus Management,Dizziness,Capsule,201 mg,Prescription,PharmaCorp,1992,A antifungal used for virus management.,75.15,Active
Drug-7019,Antidepressant,Anxiety Reduction,"Headache, Fatigue, Nausea",Syrup,454 mg,OTC,HealthPlus,2023,A antidepressant used for anxiety reduction.,115.44,Active
Drug-5217,Antiseptic,Diabetes,"Dizziness, Drowsiness",Gel,843 mg,OTC,HealthPlus,1984,A antiseptic used for diabetes.,98.35,Discontinued
Drug-1529,Analgesic,Wound Cleaning,Stomach Upset,Gel,476 mg,OTC,Global Remedies,1993,A analgesic used for wound cleaning.,21.86,Discontinued
Drug-3919,Antifungal,Wound Cleaning,"Fatigue, Drowsiness",Capsule,693 mg,OTC,Global Remedies,1985,A antifungal used for wound cleaning.,74.56,Discontinued
Drug-1598,Sedative,Blood Pressure Control,Headache,Cream,640 mg,OTC,BioSynth,2021,A sedative used for blood pressure control.,218.62,Active
Drug-5738,Analgesic,Allergy Relief,"Dizziness, Fatigue",Tablet,923 mg,OTC,Global Remedies,2012,A analgesic used for allergy relief.,141.74,Active
Drug-4150,Antihistamine,Wound Cleaning,"Drowsiness, Dizziness, Headache",Syrup,910 mg,OTC,BioSynth,2007,A antihistamine used for wound cleaning.,457.93,Active
Drug-5093,Antihypertensive,Fungal Infection,"Nausea, Dizziness",Tablet,201 mg,OTC,MediLife,2007,A antihypertensive used for fungal infection.,484.21,Discontinued
Drug-4785,Sedative,Allergy Relief,Stomach Upset,Capsule,183 mg,OTC,BioSynth,2009,A sedative used for allergy relief.,127.08,Active
Drug-8613,Antidiabetic,Diabetes,Nausea,,947 mg,Prescription,HealthPlus,2005,A antidiabetic used for diabetes.,351.54,Discontinued
Drug-5090,Antibiotic,Fungal Infection,"Stomach Upset, Fatigue",Injection,891 mg,Prescription,Global Remedies,1994,A antibiotic used for fungal infection.,180.26,Discontinued
Drug-8632,Antidepressant,Fungal Infection,Drowsiness,Capsule,562 mg,Prescription,BioSynth,1991,A antidepressant used for fungal infection.,350.47,Active
Drug-8821,Antidiabetic,Blood Pressure Control,"Fatigue, Dizziness, Headache",Capsule,78 mg,Prescription,HealthPlus,2018,A antidiabetic used for blood pressure control.,39.86,Active
Drug-2104,Sedative,Diabetes,Headache,Cream,425 mg,OTC,MediLife,1987,A sedative used for diabetes.,389.8,Discontinued
Drug-4725,Antiviral,Anxiety Reduction,"Headache, Nausea, Stomach Upset",Capsule,923 mg,Prescription,PharmaCorp,2014,A antiviral used for anxiety reduction.,429.34,Discontinued
Drug-6360,Antibiotic,Pain Relief,"Stomach Upset, Drowsiness",Cream,,Prescription,PharmaCorp,1984,A antibiotic used for pain relief.,351.19,Active
Drug-6380,Antiseptic,Depression,"Dizziness, Fatigue",Injection,834 mg,OTC,MediLife,1984,A antiseptic used for depression.,105.61,Active
Drug-6912,Antidiabetic,Fungal Infection,"Stomach Upset, Headache, Drowsiness",Cream,203 mg,Prescription,HealthPlus,1996,A antidiabetic used for fungal infection.,277.74,Discontinued
Drug-1815,Antiseptic,Diabetes,Headache,Tablet,910 mg,Prescription,HealthPlus,2016,A antiseptic used for diabetes.,219.14,Active
Drug-1124,Antidepressant,Infection,"Nausea, Fatigue",Capsule,720 mg,Prescription,BioSynth,1981,A antidepressant used for infection.,100.02,Discontinued
Drug-1412,Antiviral,Pain Relief,"Headache, Nausea",Injection,232 mg,Prescription,Global Remedies,2006,A antiviral used for pain relief.,111.89,Discontinued
Drug-7742,Antihistamine,Anxiety Reduction,"Dizziness, Fatigue, Stomach Upset",Cream,925 mg,Prescription,Global Remedies,1983,A antihistamine used for anxiety reduction.,118.45,Active
Drug-9734,Antidepressant,Depression,"Dizziness, Headache",Gel,663 mg,OTC,HealthPlus,2018,A antidepressant used for depression.,416.09,Active
Drug-8102,Analgesic,Allergy Relief,"Fatigue, Dizziness, Headache",Cream,361 mg,OTC,Global Remedies,1994,A analgesic used for allergy relief.,436.59,Active
Drug-4406,Antidiabetic,Virus Management,Dizziness,Tablet,50 mg,Prescription,MediLife,2021,A antidiabetic used for virus management.,446.35,Active
Drug-5017,Antibiotic,Infection,Headache,Syrup,339 mg,Prescription,Global Remedies,2002,A antibiotic used for infection.,235.74,Active
Drug-3389,Antidepressant,Infection,"Fatigue, Drowsiness, Dizziness",Gel,134 mg,Prescription,HealthPlus,2003,A antidepressant used for infection.,334.6,Active
Drug-4931,Antiviral,Blood Pressure Control,Headache,Gel,763 mg,Prescription,BioSynth,2019,A antiviral used for blood pressure control.,44.63,Active
Drug-4922,Antihypertensive,Diabetes,Drowsiness,Tablet,472 mg,OTC,HealthPlus,1987,A antihypertensive used for diabetes.,481.68,Active
Drug-3453,Antifungal,Allergy Relief,Nausea,Tablet,525 mg,OTC,Global Remedies,1991,A antifungal used for allergy relief.,397.03,Discontinued
Drug-3709,Antihistamine,Wound Cleaning,"Nausea, Drowsiness, Fatigue",Cream,286 mg,OTC,HealthPlus,2019,A antihistamine used for wound cleaning.,326.11,Discontinued
Drug-4356,Antiseptic,Virus Management,"Fatigue, Dizziness",Syrup,827 mg,OTC,HealthPlus,2005,A antiseptic used for virus management.,399.38,Discontinued
Drug-6036,Antidiabetic,Blood Pressure Control,"Nausea, Drowsiness, Headache",Syrup,145 mg,OTC,HealthPlus,2019,A antidiabetic used for blood pressure control.,38.67,Active
Drug-5896,Antidiabetic,Infection,"Fatigue, Stomach Upset",Capsule,613 mg,OTC,PharmaCorp,1981,A antidiabetic used for infection.,268.73,Active
Drug-3836,Antihistamine,Diabetes,"Headache, Drowsiness",Gel,656 mg,Prescription,BioSynth,1981,A antihistamine used for diabetes.,217.03,Discontinued
Drug-7670,Antihypertensive,Pain Relief,"Drowsiness, Dizziness, Headache",Injection,397 mg,Prescription,PharmaCorp,1995,A antihypertensive used for pain relief.,106.56,Discontinued
Drug-2641,Antibiotic,Wound Cleaning,"Drowsiness, Fatigue, Headache",Gel,,OTC,BioSynth,2021,A antibiotic used for wound cleaning.,54.12,Active
Drug-1442,Antiseptic,Allergy Relief,"Stomach Upset, Drowsiness, Nausea",Capsule,300 mg,OTC,MediLife,2000,A antiseptic used for allergy relief.,194.33,Discontinued
Drug-7608,Antifungal,Allergy Relief,Dizziness,Tablet,408 mg,OTC,PharmaCorp,2017,A antifungal used for allergy relief.,419.68,Active
Drug-4294,Antiseptic,Pain Relief,"Drowsiness, Stomach Upset",Capsule,64 mg,Prescription,PharmaCorp,1995,A antiseptic used for pain relief.,250.55,Active
Drug-8002,Antidiabetic,Anxiety Reduction,Stomach Upset,Cream,113 mg,Prescription,BioSynth,2019,A antidiabetic used for anxiety reduction.,125.71,Active
Drug-5977,Sedative,Diabetes,Stomach Upset,Tablet,562 mg,Prescription,HealthPlus,1986,A sedative used for diabetes.,140.56,Active
Drug-9677,Antihistamine,Wound Cleaning,"Drowsiness, Headache",Capsule,287 mg,OTC,HealthPlus,2015,A antihistamine used for wound cleaning.,10.98,Discontinued
Drug-4397,Antibiotic,Wound Cleaning,"Stomach Upset, Headache",,275 mg,Prescription,PharmaCorp,2009,A antibiotic used for wound cleaning.,483.65,Active
Drug-6634,Antiseptic,Infection,Fatigue,Cream,165 mg,Prescription,Global Remedies,2013,A antiseptic used for infection.,205.68,Discontinued
Drug-6049,Antihistamine,Depression,"Stomach Upset, Drowsiness, Nausea",Syrup,604 mg,OTC,HealthPlus,2003,A antihistamine used for depression.,235.17,Active
Drug-6859,Antidiabetic,Wound Cleaning,Drowsiness,Capsule,781 mg,OTC,Global Remedies,2020,A antidiabetic used for wound cleaning.,147.62,Discontinued
Drug-5758,Antiviral,Blood Pressure Control,"Dizziness, Nausea",Cream,950 mg,Prescription,MediLife,1985,A antiviral used for blood pressure control.,225.19,Discontinued
Drug-8134,Sedative,Depression,Fatigue,Syrup,243 mg,Prescription,PharmaCorp,1982,A sedative used for depression.,369.09,Discontinued
Drug-2595,Antihypertensive,Diabetes,"Fatigue, Drowsiness",Syrup,832 mg,OTC,BioSynth,2010,A antihypertensive used for diabetes.,326.87,Discontinued
Drug-5162,Antiseptic,Virus Management,Nausea,Gel,731 mg,Prescription,MediLife,1996,A antiseptic used for virus management.,274,Active
Drug-9874,Antihypertensive,Depression,Dizziness,Syrup,210 mg,Prescription,HealthPlus,2010,A antihypertensive used for depression.,182.63,Active
Drug-7025,Antiviral,Virus Management,"Dizziness, Fatigue, Drowsiness",Syrup,,Prescription,PharmaCorp,2004,A antiviral used for virus management.,156.09,Active
Drug-3559,Antidepressant,Virus Management,Headache,Capsule,171 mg,OTC,Global Remedies,2018,A antidepressant used for virus management.,69.85,Discontinued
Drug-1453,Antidepressant,Pain Relief,"Stomach Upset, Dizziness",Tablet,82 mg,OTC,PharmaCorp,1995,A antidepressant used for pain relief.,144.6,Active
Drug-6170,Antiseptic,Infection,"Fatigue, Nausea",Cream,77 mg,Prescription,PharmaCorp,2013,A antiseptic used for infection.,313.47,Discontinued
Drug-6928,Sedative,Depression,"Stomach Upset, Drowsiness, Fatigue",Injection,121 mg,OTC,BioSynth,1988,A sedative used for depression.,182.2,Active
Drug-7344,Antihistamine,Infection,"Headache, Nausea",Injection,364 mg,Prescription,PharmaCorp,2022,A antihistamine used for infection.,386.96,Active
Drug-2009,Antihistamine,Blood Pressure Control,"Fatigue, Nausea, Headache",Gel,650 mg,OTC,HealthPlus,2020,A antihistamine used for blood pressure control.,436.3,Active
